,type_of_property,price,number_of_bedrooms,surface,terrace,garden,swimming_pool,state_of_the_building,postal_code_score
0,1.0,159000.0,-2.160276507210084,3.836120267179116,0.0,0.0,0.0,1.0,-1.376592045404683
1,1.0,459000.0,2.5170418299555193,1.7254438381033055,0.0,0.0,0.0,1.0,-1.376592045404683
2,1.0,169000.0,3.2965948861497862,0.9046252267960458,1.0,0.0,0.0,1.0,-1.376592045404683
3,1.0,129000.0,-0.6011703948215494,-0.2679727893571821,1.0,0.0,0.0,1.0,-1.376592045404683
4,1.0,249000.0,3.2965948861497862,0.7639134648576585,1.0,1.0,0.0,1.0,-1.376592045404683
5,1.0,159000.0,0.17838266137271777,-0.6549301346877473,1.0,1.0,0.0,1.0,-1.376592045404683
6,1.0,129000.0,0.17838266137271777,-0.35005465048790807,1.0,1.0,0.0,1.0,-1.376592045404683
7,0.0,139000.0,-0.6011703948215494,-0.9129016982414575,1.0,0.0,0.0,1.0,-1.376592045404683
8,1.0,310860.0,0.957935717566985,-0.15071298774185932,1.0,0.0,0.0,1.0,-1.376592045404683
9,1.0,319000.0,0.17838266137271777,-0.3617806306494404,1.0,1.0,0.0,1.0,-1.376592045404683
10,1.0,235000.0,0.957935717566985,1.1391448300266915,1.0,0.0,0.0,1.0,-1.376592045404683
11,0.0,249000.0,-0.6011703948215494,-0.643204154526215,1.0,0.0,0.0,1.0,-1.376592045404683
12,1.0,75000.0,-0.6011703948215494,-0.5376703330724245,0.0,0.0,0.0,1.0,-1.376592045404683
13,1.0,169000.0,0.17838266137271777,-0.47904043226476317,0.0,1.0,0.0,1.0,-1.376592045404683
14,1.0,169000.0,-0.6011703948215494,-0.6197521942031505,0.0,0.0,0.0,1.0,-1.376592045404683
15,0.0,125000.0,-0.6011703948215494,-0.6314781743646828,0.0,0.0,0.0,1.0,-1.376592045404683
16,1.0,165000.0,0.957935717566985,-0.3383286703263758,1.0,1.0,0.0,1.0,-1.376592045404683
17,1.0,180000.0,1.7374887737612523,0.08380661548878626,0.0,0.0,0.0,1.0,-1.376592045404683
18,0.0,109000.0,-1.3807234510158166,-0.9246276784029898,0.0,0.0,0.0,1.0,-1.376592045404683
19,1.0,165000.0,-0.6011703948215494,-0.4438624917801663,1.0,0.0,0.0,1.0,-1.376592045404683
20,0.0,169000.0,1.7374887737612523,0.4942159211424161,0.0,0.0,0.0,1.0,-1.376592045404683
21,1.0,249000.0,0.17838266137271777,0.22451837742717362,1.0,1.0,0.0,1.0,-1.376592045404683
22,1.0,279000.0,2.5170418299555193,1.5495541356803213,1.0,1.0,0.0,1.0,-1.376592045404683
23,1.0,139000.0,0.17838266137271777,0.3535041592040287,0.0,1.0,0.0,0.0,-1.376592045404683
24,1.0,185000.0,-0.6011703948215494,0.27142229807330276,1.0,1.0,0.0,0.0,-1.376592045404683
25,0.0,172500.0,-0.6011703948215494,-0.7604639561415378,1.0,0.0,0.0,1.0,-1.376592045404683
26,1.0,169000.0,0.957935717566985,-0.13898700758032703,1.0,1.0,0.0,1.0,-1.376592045404683
27,0.0,385000.0,0.957935717566985,0.4355860203347547,1.0,0.0,0.0,1.0,-1.376592045404683
28,0.0,770000.0,0.957935717566985,0.8811732664729813,1.0,0.0,0.0,1.0,-1.376592045404683
