Unnamed: 0,id,locality,postal_code,region,province,type_of_property,subtype_of_property,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
48626,10088304,Asse,1730,Flanders,Flemish Brabant,0,PENTHOUSE,398000.0,2.0,101.0,HYPER_EQUIPPED,1,0.0,0,1.0,30.0,1.0,,,3.0,,1
33157,10131730,Rijkevorsel,2310,Flanders,Antwerp,1,HOUSE,595000.0,4.0,245.0,NO_INFO,-1,0.0,1,,,1.0,,3445.0,,0.0,1
10988,10129593,Mouscron,7700,Wallonie,Hainaut,1,HOUSE,248000.0,3.0,165.0,INSTALLED,INSTALLED,0.0,0,,,,,0.0,2.0,,1
15494,10080565,Buissenal,7911,Wallonie,Hainaut,1,HOUSE,180000.0,4.0,275.0,INSTALLED,INSTALLED,,0,,,1.0,,1020.0,3.0,,0
6437,9914542,Uccle,1180,Brussels,Brussels,1,VILLA,1950000.0,9.0,700.0,USA_INSTALLED,USA_INSTALLED,,0,1.0,,,,1500.0,4.0,,1
53079,10135823,Tielt-Winge,3390,Flanders,Flemish Brabant,1,HOUSE,285000.0,3.0,200.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,,,1.0,,656.0,4.0,0.0,1
60098,10101581,Ninove,9400,Flanders,East Flanders,1,EXCEPTIONAL_PROPERTY,739000.0,5.0,321.0,INSTALLED,INSTALLED,,0,,,,,1260.0,4.0,0.0,1
34354,10096450,Onze-Lieve-Vrouw-Waver,2861,Flanders,Antwerp,1,HOUSE,595000.0,3.0,192.0,HYPER_EQUIPPED,1,,0,1.0,,,,421.0,,0.0,1
42385,10028103,Blankenberge,8370,Flanders,West Flanders,0,APARTMENT,357500.0,2.0,101.0,NO_INFO,-1,,0,1.0,,1.0,,,,0.0,1
8752,10113292,Uccle,1180,Brussels,Brussels,0,APARTMENT,285000.0,1.0,280.0,SEMI_EQUIPPED,SEMI_EQUIPPED,,0,1.0,24.0,1.0,200.0,,2.0,0.0,1
38402,10097739,Oostende,8400,Flanders,West Flanders,1,HOUSE,219000.0,3.0,145.0,INSTALLED,INSTALLED,0.0,0,1.0,,,,65.0,,0.0,1
47683,9680174,Borgloon,3840,Flanders,Limburg,0,APARTMENT,300150.0,2.0,115.0,INSTALLED,INSTALLED,0.0,0,1.0,51.0,,,,,,1
30511,9993901,Antwerpen,2050,Flanders,Antwerp,0,APARTMENT,229000.0,2.0,83.0,HYPER_EQUIPPED,1,,0,1.0,5.0,,,,2.0,0.0,1
60783,9988345,Wetteren,9230,Flanders,East Flanders,1,HOUSE,311280.0,3.0,110.0,INSTALLED,INSTALLED,0.0,0,1.0,25.0,1.0,200.0,305.0,,0.0,1
29546,10081796,Westmeerbeek (Hulshout),2235,Flanders,Antwerp,1,HOUSE,585000.0,5.0,295.0,NO_INFO,-1,0.0,0,,,,,1376.0,4.0,0.0,1
56630,10118703,Sint-Niklaas,9100,Flanders,East Flanders,1,HOUSE,599000.0,5.0,290.0,NO_INFO,-1,0.0,0,,,1.0,130.0,503.0,2.0,0.0,1
57019,10136134,Gent,9000,Flanders,East Flanders,1,HOUSE,250000.0,4.0,115.0,NO_INFO,-1,0.0,0,1.0,6.0,,,46.0,2.0,0.0,1
60077,10115578,SINT-MARIA-HOREBEKE,9667,Flanders,East Flanders,1,COUNTRY_COTTAGE,180000.0,2.0,100.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,,,,,380.0,,,1
30640,10123552,Oud-Turnhout,2360,Flanders,Antwerp,1,HOUSE,354824.0,3.0,124.0,NO_INFO,-1,0.0,0,1.0,,,,351.0,3.0,,1
3577,9896195,Florenville,6820,Wallonie,Luxembourg,1,HOUSE,95000.0,3.0,126.0,INSTALLED,INSTALLED,0.0,0,1.0,15.0,1.0,710.0,800.0,4.0,,0
25903,10016843,Tubize,1480,Wallonie,Walloon Brabant,1,HOUSE,425000.0,6.0,266.0,USA_HYPER_EQUIPPED,1,0.0,0,1.0,110.0,1.0,500.0,626.0,3.0,1.0,1
48395,10101062,Heusden-Zolder,3550,Flanders,Limburg,0,DUPLEX,235000.0,3.0,120.0,INSTALLED,INSTALLED,0.0,0,,,1.0,,,3.0,0.0,1
38562,10103436,Moorsele,8560,Flanders,West Flanders,1,VILLA,429000.0,5.0,262.0,NO_INFO,-1,,0,,,1.0,,1158.0,,0.0,1
26059,10084527,Waterloo,1410,Wallonie,Walloon Brabant,0,APARTMENT,299000.0,4.0,150.0,INSTALLED,INSTALLED,0.0,0,,,,,,4.0,,1
10560,9843419,Woluwe-Saint-Lambert,1200,Brussels,Brussels,1,HOUSE,675000.0,4.0,250.0,HYPER_EQUIPPED,1,0.0,0,1.0,30.0,1.0,210.0,350.0,2.0,0.0,1
9560,10125637,BRUXELLES,1000,Brussels,Brussels,0,APARTMENT,449000.0,2.0,112.0,USA_HYPER_EQUIPPED,1,0.0,0,1.0,4.0,,,,2.0,,1
39538,10058924,Oostende,8400,Flanders,West Flanders,0,APARTMENT,245000.0,2.0,62.0,NO_INFO,-1,1.0,0,,,,,,2.0,0.0,1
53075,10087618,Lubbeek,3210,Flanders,Flemish Brabant,1,COUNTRY_COTTAGE,437000.0,4.0,325.0,INSTALLED,INSTALLED,0.0,0,,,1.0,,2965.0,,0.0,1
14974,9581875,Mouscron,7700,Wallonie,Hainaut,1,HOUSE,75000.0,2.0,107.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,,,,,78.0,2.0,0.0,1
41562,9878158,Oostende,8400,Flanders,West Flanders,0,FLAT_STUDIO,177000.0,0.0,46.0,NO_INFO,-1,,0,1.0,5.0,,,,,0.0,1
7637,9984317,Forest,1190,Brussels,Brussels,1,HOUSE,870000.0,4.0,277.0,INSTALLED,INSTALLED,0.0,0,,,,,1555.0,2.0,,1
37650,9899606,Oostende,8400,Flanders,West Flanders,0,FLAT_STUDIO,195000.0,0.0,42.0,INSTALLED,INSTALLED,0.0,0,1.0,6.0,,,,4.0,0.0,1
40528,10014547,Harelbeke,8530,Flanders,West Flanders,0,APARTMENT,260000.0,2.0,95.0,NO_INFO,-1,,0,1.0,15.0,,,,,0.0,1
26645,10048814,Kapellen,2950,Flanders,Antwerp,1,HOUSE,499000.0,5.0,186.0,INSTALLED,INSTALLED,0.0,0,1.0,,1.0,,420.0,,0.0,1
25282,10129633,Lasne,1380,Wallonie,Walloon Brabant,1,VILLA,485000.0,3.0,155.0,INSTALLED,INSTALLED,0.0,0,1.0,44.0,1.0,280.0,608.0,4.0,,1
23445,9902647,Hermalle-sous-Argenteau,4681,Wallonie,Liège,1,HOUSE,299000.0,4.0,227.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,1.0,20.0,1.0,743.0,900.0,4.0,0.0,1
37399,10080037,Middelkerke,8430,Flanders,West Flanders,1,HOUSE,215000.0,2.0,80.0,NO_INFO,-1,1.0,0,1.0,,1.0,,213.0,,0.0,1
58285,10124774,Elversele (Temse),9140,Flanders,East Flanders,1,HOUSE,525000.0,1.0,315.0,NO_INFO,-1,0.0,0,1.0,15.0,,,177.0,4.0,0.0,1
43720,10093628,Marke,8510,Flanders,West Flanders,1,HOUSE,425000.0,3.0,233.0,INSTALLED,INSTALLED,0.0,0,1.0,30.0,,,660.0,4.0,0.0,1
8340,10126685,Ixelles,1050,Brussels,Brussels,1,MANSION,1960000.0,6.0,509.0,NO_INFO,-1,0.0,0,1.0,,1.0,,310.0,,0.0,1
24166,9998968,Jodoigne,1370,Wallonie,Walloon Brabant,1,HOUSE,179000.0,3.0,102.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,1.0,16.0,,,55.0,2.0,,1
44656,9699842,Blankenberge,8370,Flanders,West Flanders,0,APARTMENT,179900.0,2.0,66.0,INSTALLED,INSTALLED,0.0,0,,,,,,2.0,0.0,1
13091,9941179,Peruwelz,7600,Wallonie,Hainaut,1,CASTLE,1490000.0,10.0,1000.0,NO_INFO,-1,,0,,,,,22339.0,4.0,,0
57364,10099035,Aalst Hofstade,9308,Flanders,East Flanders,1,HOUSE,349000.0,4.0,191.0,HYPER_EQUIPPED,1,,0,1.0,,,,134.0,2.0,,1
50172,10142449,Heverlee,3001,Flanders,Flemish Brabant,0,FLAT_STUDIO,199900.0,0.0,36.0,INSTALLED,INSTALLED,0.0,0,,,,,,,,1
47962,10015294,Hasselt,3500,Flanders,Limburg,1,HOUSE,393998.0,3.0,169.0,HYPER_EQUIPPED,1,0.0,0,1.0,,,,154.0,2.0,0.0,1
31028,9887388,Nijlen,2560,Flanders,Antwerp,1,EXCEPTIONAL_PROPERTY,4695000.0,5.0,1350.0,INSTALLED,INSTALLED,,0,,,,,150000.0,4.0,,1
44847,9970413,Langemark-Poelkapelle,8920,Flanders,West Flanders,1,HOUSE,339000.0,3.0,110.0,INSTALLED,INSTALLED,0.0,0,1.0,,1.0,,221.0,2.0,0.0,1
23421,10029476,Buellingen,4760,Wallonie,Liège,1,HOUSE,179000.0,3.0,160.0,NO_INFO,-1,0.0,0,,,1.0,600.0,693.0,3.0,0.0,1
38509,9935109,Eernegem,8480,Flanders,West Flanders,1,HOUSE,219000.0,4.0,195.0,NO_INFO,-1,0.0,0,,,1.0,,340.0,2.0,0.0,1
29778,9950262,Mol,2400,Flanders,Antwerp,1,HOUSE,239900.0,2.0,88.0,NO_INFO,-1,,0,,,1.0,,236.0,,0.0,1
34672,10062674,Zoersel,2980,Flanders,Antwerp,1,HOUSE,295000.0,4.0,135.0,NO_INFO,-1,,0,,,,,690.0,,0.0,0
