,type_of_property,price,number_of_bedrooms,surface,terrace,garden,swimming_pool,state_of_the_building,province_score
1,1,135000.0,0.18645343900427552,0.20904978672030947,0,1,0,0,0.6524590163934426
2,1,516117.0,0.18645343900427552,0.18548667068371885,0,0,0,1,1.2754098360655737
3,0,115000.0,-1.3780701304890564,-1.204737175475128,0,1,0,1,1.0163934426229508
4,0,219000.0,-0.5958083457423904,-0.30933876608468425,1,0,0,1,1.1967213114754098
5,0,250000.0,-1.3780701304890564,-1.0515769212372887,0,0,0,1,1.1967213114754098
6,0,169000.0,-0.5958083457423904,-0.910198225017745,1,0,0,1,1.0163934426229508
7,0,328500.0,0.18645343900427552,-0.6510039486152482,1,0,0,1,0.8163934426229508
8,1,438000.0,0.18645343900427552,0.4446809470862157,1,1,0,1,1.1114754098360655
9,0,375000.0,-0.5958083457423904,-0.26221253401150296,1,0,0,1,1.1114754098360655
11,0,339000.0,-1.3780701304890564,-0.8748535509628591,1,0,0,1,1.0163934426229508
12,1,675000.0,0.9687152237509414,4.096963932757762,1,1,0,1,1.1967213114754098
13,0,225000.0,-0.5958083457423904,-0.6745670646518389,1,0,0,1,1.1114754098360655
14,0,240550.0,-0.5958083457423904,-0.6274408325786576,0,1,0,1,1.0163934426229508
15,1,565000.0,1.7509770084976073,1.4578949366596123,0,0,1,1,1.1114754098360655
16,1,375000.0,0.9687152237509414,1.210482218275411,1,1,0,1,1.0786885245901638
17,1,495000.0,0.18645343900427552,1.4696764946779077,1,1,0,1,0.6524590163934426
18,1,445000.0,0.18645343900427552,1.0808850800741625,0,0,0,1,1.2754098360655737
19,0,279000.0,-0.5958083457423904,-0.5331883684322951,1,0,0,1,1.0163934426229508
20,1,325999.0,0.18645343900427552,0.5035887371776923,1,1,0,1,1.2754098360655737
21,0,240000.0,-1.3780701304890564,-1.0280138052006982,1,0,0,1,1.1114754098360655
22,1,160000.0,0.18645343900427552,-1.0280138052006982,1,0,0,1,0.7816393442622951
23,1,449000.0,0.9687152237509414,1.0455404060192766,0,0,0,1,1.0786885245901638
24,0,389000.0,-0.5958083457423904,-0.26221253401150296,1,1,0,1,1.1114754098360655
25,1,265000.0,0.18645343900427552,0.8923801517814375,1,1,0,1,1.0163934426229508
27,1,270000.0,0.18645343900427552,0.38577315699473913,1,0,0,1,1.0163934426229508
28,0,303000.0,-1.3780701304890564,-0.910198225017745,1,0,0,1,1.0163934426229508
29,0,335000.0,-0.5958083457423904,-0.7923826448347919,0,1,0,1,1.1114754098360655
30,1,195000.0,0.18645343900427552,0.2561760187934907,0,1,0,1,0.6524590163934426
31,0,215000.0,-1.3780701304890564,-1.0162322471824028,1,0,0,1,1.1967213114754098
32,0,385000.0,0.18645343900427552,-0.3211203241029795,1,0,0,1,1.2426229508196722
33,1,779000.0,0.18645343900427552,0.30330225086667195,1,1,1,1,1.1114754098360655
34,1,299000.0,0.9687152237509414,0.40933627303132974,1,0,0,1,1.1114754098360655
35,1,215000.0,-0.5958083457423904,-0.7923826448347919,1,0,0,1,0.8163934426229508
36,0,145000.0,-2.160331915235722,-1.5110576839508059,0,0,0,1,1.1967213114754098
37,0,345000.0,0.18645343900427552,-0.46249902032252327,1,0,0,1,1.0163934426229508
38,1,225000.0,0.18645343900427552,0.5624965272691688,0,0,0,1,1.0163934426229508
39,0,175000.0,-2.160331915235722,-1.322552755658081,0,0,0,1,1.1967213114754098
40,0,295000.0,-0.5958083457423904,-0.8512904349262685,1,0,0,1,1.0786885245901638
41,0,649000.0,-0.5958083457423904,1.5285842847693842,1,0,0,1,1.1114754098360655
42,0,269900.0,-0.5958083457423904,-0.6156592745603623,1,1,0,1,1.0163934426229508
43,1,349000.0,1.7509770084976073,0.5742780852874642,1,1,0,1,1.0163934426229508
44,1,595000.0,0.9687152237509414,0.5624965272691688,0,1,0,1,1.2426229508196722
45,0,312000.0,-0.5958083457423904,-0.7334748547433154,1,0,0,1,1.1967213114754098
46,0,249000.0,-1.3780701304890564,-0.8159457608713826,1,1,0,1,1.1114754098360655
47,1,700000.0,-0.5958083457423904,1.0455404060192766,0,0,0,1,1.0786885245901638
48,0,379000.0,0.18645343900427552,-0.2504309759932077,1,1,0,1,1.1114754098360655
49,1,209000.0,0.18645343900427552,1.5639289588242702,1,0,0,1,1.0786885245901638
50,0,344500.0,0.18645343900427552,-0.47428057834081855,1,0,0,1,1.1114754098360655
51,0,212500.0,0.18645343900427552,-0.5449699264505904,1,0,0,1,0.6524590163934426
52,0,99000.0,-1.3780701304890564,-1.2400818495300139,0,0,0,1,0.7816393442622951
53,0,295000.0,0.18645343900427552,-0.26221253401150296,1,0,0,1,1.0786885245901638
54,1,249000.0,0.18645343900427552,-0.073707605718778,1,1,0,1,0.7816393442622951
55,0,249000.0,-1.3780701304890564,-1.1222662693470606,1,1,0,1,1.1967213114754098
56,1,478500.0,0.9687152237509414,0.5978412013240547,0,1,0,1,1.2754098360655737
57,0,192500.0,-0.5958083457423904,-0.5331883684322951,0,0,0,1,0.6524590163934426
58,1,469000.0,1.7509770084976073,0.5624965272691688,0,1,0,1,1.1114754098360655
59,1,319000.0,0.9687152237509414,-0.06192604770048269,1,1,0,1,0.7816393442622951
60,1,485000.0,0.9687152237509414,0.1619235546471282,0,1,0,1,1.1114754098360655
61,0,115000.0,-2.160331915235722,-1.4403683358410342,1,0,0,1,0.7816393442622951
62,1,449000.0,0.9687152237509414,-0.1797416278834358,1,0,0,1,1.1967213114754098
63,1,415000.0,0.18645343900427552,-0.1797416278834358,1,1,0,1,1.2754098360655737
64,0,175000.0,-1.3780701304890564,-1.134047827365356,1,0,0,1,1.1114754098360655
65,0,149818.0,-1.3780701304890564,-1.0515769212372887,1,0,0,1,0.6524590163934426
66,1,129000.0,0.18645343900427552,-0.7334748547433154,1,1,0,0,0.6524590163934426
67,0,296000.0,0.18645343900427552,-0.34468344013957014,1,0,0,1,0.6524590163934426
68,0,239000.0,-0.5958083457423904,-0.7334748547433154,1,0,0,1,1.0786885245901638
69,0,185000.0,-0.5958083457423904,-0.7216932967250201,0,0,0,1,1.0786885245901638
70,1,629000.0,1.7509770084976073,1.5050211687327937,1,1,0,1,1.1114754098360655
71,1,560000.0,2.5332387932442733,1.4225502626047266,0,0,0,1,1.0163934426229508
72,1,109000.0,-1.3780701304890564,-1.0869215952921747,1,0,0,1,0.6524590163934426
73,1,185000.0,0.18645343900427552,-0.3564649981578655,1,0,0,1,0.6524590163934426
74,1,429550.0,0.18645343900427552,-0.08548916373707331,1,0,0,1,0.7816393442622951
75,0,169000.0,-0.5958083457423904,-1.0162322471824028,0,0,0,1,1.0163934426229508
76,0,378900.0,0.18645343900427552,0.6214043173606454,1,0,0,1,1.2426229508196722
77,1,215000.0,0.18645343900427552,-0.20330474392002643,1,1,0,1,0.7816393442622951
78,1,419000.0,0.18645343900427552,-0.08548916373707331,0,1,0,1,1.0163934426229508
79,1,675000.0,0.9687152237509414,1.552147400805975,0,0,0,1,1.0163934426229508
80,1,295000.0,0.18645343900427552,-0.3211203241029795,1,1,0,1,1.0163934426229508
81,1,125000.0,0.18645343900427552,0.6803121074521219,0,0,0,1,0.6524590163934426
82,1,1125000.0,0.18645343900427552,3.5078860318429967,0,1,0,1,1.1114754098360655
83,1,420000.0,0.9687152237509414,0.9159432678180282,1,1,0,1,1.2426229508196722
84,0,299000.0,-0.5958083457423904,-0.4978436943774092,0,0,0,1,1.1967213114754098
